FIPS code,County,State,Full Form
2020,Anchorage Borough,AK,Alaska
2090,Fairbanks North Star Borough,AK,Alaska
1001,Autauga County,AL,Alabama
1003,Baldwin County,AL,Alabama
1005,Barbour County,AL,Alabama
1007,Bibb County,AL,Alabama
1009,Blount County,AL,Alabama
1013,Butler County,AL,Alabama
1015,Calhoun County,AL,Alabama
1017,Chambers County,AL,Alabama
1019,Cherokee County,AL,Alabama
1021,Chilton County,AL,Alabama
1027,Clay County,AL,Alabama
1031,Coffee County,AL,Alabama
1033,Colbert County,AL,Alabama
1039,Covington County,AL,Alabama
1041,Crenshaw County,AL,Alabama
1043,Cullman County,AL,Alabama
1045,Dale County,AL,Alabama
1047,Dallas County,AL,Alabama
1049,DeKalb County,AL,Alabama
1051,Elmore County,AL,Alabama
1053,Escambia County,AL,Alabama
1055,Etowah County,AL,Alabama
1059,Franklin County,AL,Alabama
1069,Houston County,AL,Alabama
1071,Jackson County,AL,Alabama
1073,Jefferson County,AL,Alabama
1077,Lauderdale County,AL,Alabama
1081,Lee County,AL,Alabama
1083,Limestone County,AL,Alabama
1089,Madison County,AL,Alabama
1091,Marengo County,AL,Alabama
1093,Marion County,AL,Alabama
1095,Marshall County,AL,Alabama
1097,Mobile County,AL,Alabama
1101,Montgomery County,AL,Alabama
1103,Morgan County,AL,Alabama
1109,Pike County,AL,Alabama
1113,Russell County,AL,Alabama
1115,St. Clair County,AL,Alabama
1117,Shelby County,AL,Alabama
1121,Talladega County,AL,Alabama
1123,Tallapoosa County,AL,Alabama
1125,Tuscaloosa County,AL,Alabama
1127,Walker County,AL,Alabama
1129,Washington County,AL,Alabama
1133,Winston County,AL,Alabama
5005,Baxter County,AR,Arkansas
5007,Benton County,AR,Arkansas
5009,Boone County,AR,Arkansas
5017,Chicot County,AR,Arkansas
5027,Columbia County,AR,Arkansas
5031,Craighead County,AR,Arkansas
5035,Crittenden County,AR,Arkansas
5045,Faulkner County,AR,Arkansas
5051,Garland County,AR,Arkansas
5061,Howard County,AR,Arkansas
5063,Independence County,AR,Arkansas
5069,Jefferson County,AR,Arkansas
5081,Little River County,AR,Arkansas
5093,Mississippi County,AR,Arkansas
5101,Newton County,AR,Arkansas
5115,Pope County,AR,Arkansas
5119,Pulaski County,AR,Arkansas
5121,Randolph County,AR,Arkansas
5125,Saline County,AR,Arkansas
5131,Sebastian County,AR,Arkansas
5137,Stone County,AR,Arkansas
5139,Union County,AR,Arkansas
5143,Washington County,AR,Arkansas
5145,White County,AR,Arkansas
4001,Apache County,AZ,Arizona
4003,Cochise County,AZ,Arizona
4005,Coconino County,AZ,Arizona
4007,Gila County,AZ,Arizona
4009,Graham County,AZ,Arizona
4013,Maricopa County,AZ,Arizona
4015,Mohave County,AZ,Arizona
4017,Navajo County,AZ,Arizona
4019,Pima County,AZ,Arizona
4021,Pinal County,AZ,Arizona
4025,Yavapai County,AZ,Arizona
4027,Yuma County,AZ,Arizona
6001,Alameda County,CA,California
6005,Amador County,CA,California
6007,Butte County,CA,California
6009,Calaveras County,CA,California
6013,Contra Costa County,CA,California
6019,Fresno County,CA,California
6025,Imperial County,CA,California
6027,Inyo County,CA,California
6029,Kern County,CA,California
6031,Kings County,CA,California
6033,Lake County,CA,California
6037,Los Angeles County,CA,California
6039,Madera County,CA,California
6041,Marin County,CA,California
6045,Mendocino County,CA,California
6047,Merced County,CA,California
6053,Monterey County,CA,California
6055,Napa County,CA,California
6059,Orange County,CA,California
6061,Placer County,CA,California
6065,Riverside County,CA,California
6067,Sacramento County,CA,California
6071,San Bernardino County,CA,California
6073,San Diego County,CA,California
6075,San Francisco County,CA,California
6077,San Joaquin County,CA,California
6079,San Luis Obispo County,CA,California
6081,San Mateo County,CA,California
6083,Santa Barbara County,CA,California
6085,Santa Clara County,CA,California
6087,Santa Cruz County,CA,California
6089,Shasta County,CA,California
6095,Solano County,CA,California
6097,Sonoma County,CA,California
6099,Stanislaus County,CA,California
6107,Tulare County,CA,California
6111,Ventura County,CA,California
6113,Yolo County,CA,California
6115,Yuba County,CA,California
8001,Adams County,CO,Colorado
8005,Arapahoe County,CO,Colorado
8013,Boulder County,CO,Colorado
8014,Broomfield County,CO,Colorado
8015,Chaffee County,CO,Colorado
8031,Denver County,CO,Colorado
8035,Douglas County,CO,Colorado
8041,El Paso County,CO,Colorado
8059,Jefferson County,CO,Colorado
8069,Larimer County,CO,Colorado
8077,Mesa County,CO,Colorado
8085,Montrose County,CO,Colorado
8087,Morgan County,CO,Colorado
8101,Pueblo County,CO,Colorado
8123,Weld County,CO,Colorado
9001,Fairfield County,CT,Connecticut
9003,Hartford County,CT,Connecticut
9005,Litchfield County,CT,Connecticut
9007,Middlesex County,CT,Connecticut
9009,New Haven County,CT,Connecticut
9011,New London County,CT,Connecticut
9013,Tolland County,CT,Connecticut
9015,Windham County,CT,Connecticut
11001,District of Columbia,DC,District of Columbia
10001,Kent County,DE,Delaware
10003,New Castle County,DE,Delaware
10005,Sussex County,DE,Delaware
12001,Alachua County,FL,Florida
12005,Bay County,FL,Florida
12009,Brevard County,FL,Florida
12011,Broward County,FL,Florida
12015,Charlotte County,FL,Florida
12017,Citrus County,FL,Florida
12019,Clay County,FL,Florida
12021,Collier County,FL,Florida
12023,Columbia County,FL,Florida
12031,Duval County,FL,Florida
12033,Escambia County,FL,Florida
12035,Flagler County,FL,Florida
12051,Hendry County,FL,Florida
12053,Hernando County,FL,Florida
12055,Highlands County,FL,Florida
12057,Hillsborough County,FL,Florida
12061,Indian River County,FL,Florida
12063,Jackson County,FL,Florida
12069,Lake County,FL,Florida
12071,Lee County,FL,Florida
12073,Leon County,FL,Florida
12081,Manatee County,FL,Florida
12083,Marion County,FL,Florida
12085,Martin County,FL,Florida
12086,Miami-Dade County,FL,Florida
12087,Monroe County,FL,Florida
12089,Nassau County,FL,Florida
12091,Okaloosa County,FL,Florida
12093,Okeechobee County,FL,Florida
12095,Orange County,FL,Florida
12097,Osceola County,FL,Florida
12099,Palm Beach County,FL,Florida
12101,Pasco County,FL,Florida
12103,Pinellas County,FL,Florida
12105,Polk County,FL,Florida
12107,Putnam County,FL,Florida
12109,St. Johns County,FL,Florida
12111,St. Lucie County,FL,Florida
12113,Santa Rosa County,FL,Florida
12115,Sarasota County,FL,Florida
12117,Seminole County,FL,Florida
12119,Sumter County,FL,Florida
12121,Suwannee County,FL,Florida
12125,Union County,FL,Florida
12127,Volusia County,FL,Florida
12131,Walton County,FL,Florida
12133,Washington County,FL,Florida
13001,Appling County,GA,Georgia
13005,Bacon County,GA,Georgia
13009,Baldwin County,GA,Georgia
13013,Barrow County,GA,Georgia
13015,Bartow County,GA,Georgia
13017,Ben Hill County,GA,Georgia
13019,Berrien County,GA,Georgia
13021,Bibb County,GA,Georgia
13023,Bleckley County,GA,Georgia
13031,Bulloch County,GA,Georgia
